id,company,developer,game,porting,publisher,supporting
69098,"{'id': 6059, 'name': 'French Bread'}",True,41819,False,False,False
24391,"{'id': 1641, 'name': 'Hello Games'}",True,11241,False,False,False
39031,"{'id': 747, 'name': 'Tarsier Studios'}",True,20705,False,False,False
22713,"{'id': 5079, 'name': 'Pastagames'}",True,9374,False,False,False
6299,"{'id': 1241, 'name': 'Artificial Mind & Movement'}",True,2633,False,False,False
45636,"{'id': 474, 'name': 'Liquid Entertainment'}",True,11104,False,False,False
18033,"{'id': 3453, 'name': 'Snowbird Games'}",True,7719,False,False,False
20659,"{'id': 3074, 'name': 'Spiderweb Software'}",True,8362,False,True,False
23080,"{'id': 5179, 'name': 'Fuero Games'}",True,9689,False,False,False
37451,"{'id': 4065, 'name': 'Curve Studios'}",True,17959,False,False,False
56469,"{'id': 10, 'name': 'LucasArts'}",True,39351,False,True,False
37239,"{'id': 2345, 'name': 'Abstraction Games'}",True,16282,False,False,False
40226,"{'id': 771, 'name': 'Rare'}",True,20650,False,False,False
96813,"{'id': 5838, 'name': 'Artifex Mundi'}",True,17139,False,True,False
34922,"{'id': 9586, 'name': ""Fool's Theory""}",True,18908,False,False,False
38722,"{'id': 1983, 'name': 'tri-Ace'}",True,22756,False,False,False
34526,"{'id': 1839, 'name': 'Williams Electronics'}",True,18693,False,True,False
40089,"{'id': 2821, 'name': 'Eighting'}",True,21260,False,False,False
40077,"{'id': 1947, 'name': 'Tomy'}",True,19622,False,False,False
18039,"{'id': 3455, 'name': '.theprodukkt'}",True,7724,False,False,False
6111,"{'id': 1215, 'name': 'Banpresto'}",True,2560,False,False,False
19677,"{'id': 1267, 'name': 'Backbone Entertainment'}",True,8198,False,False,False
26623,"{'id': 377, 'name': 'Firaxis Games'}",True,10831,False,False,False
18372,"{'id': 97, 'name': 'New World Computing'}",True,7845,False,False,False
11682,"{'id': 38, 'name': 'Ubisoft Montreal'}",True,4854,False,False,False
6872,"{'id': 208, 'name': 'Frontier Developments'}",True,2852,False,False,False
23799,"{'id': 5676, 'name': 'Logic Artists'}",True,10501,False,False,False
8574,"{'id': 697, 'name': 'Ubisoft Bucharest'}",True,3124,False,False,False
27872,"{'id': 7195, 'name': 'Tatsumi'}",True,12728,False,True,False
66594,"{'id': 148, 'name': 'Gearbox Software'}",True,75690,False,True,False
98076,"{'id': 1893, 'name': 'PopCap Games'}",True,15712,False,True,False
56441,"{'id': 3957, 'name': 'M2H'}",True,36718,False,True,False
27013,"{'id': 407, 'name': 'Monolith Productions'}",True,13225,False,True,False
44975,"{'id': 94, 'name': 'EA Digital Illusions CE'}",True,26941,False,False,False
35119,"{'id': 2557, 'name': 'Superscape'}",True,19005,False,False,False
31954,"{'id': 298, 'name': 'Sierra Northwest'}",True,17255,False,False,False
50060,"{'id': 5, 'name': 'Interplay Entertainment'}",True,18153,False,True,False
63453,"{'id': 15119, 'name': 'Nickervision Studios'}",True,33733,False,True,False
60345,"{'id': 794, 'name': 'Virtuos'}",True,80196,False,False,False
273656,"{'id': 4750, 'name': 'Free Fall Associates'}",True,11912,False,False,False
19050,"{'id': 884, 'name': 'Polyphony Digital'}",True,1604,False,False,False
31191,"{'id': 8276, 'name': 'Flashpoint Productions'}",True,12327,False,False,False
173009,"{'id': 61, 'name': 'Gameloft'}",True,203138,False,True,False
9661,"{'id': 603, 'name': 'Humongous Entertainment'}",True,3739,False,False,False
